nombre,codigo,hexadecimal,rgb,libro,cartilla,linea,marca,base,cuarto1,cuarto2,cuarto3,cuarto4,galon1,galon2,galon3,galon4,cubeta1,cubeta2,cubeta3,cubeta4
AMARILLO,1406,D59E04,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
AZUL,1408,19376A,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
ROJO,1404,A31310,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
NARANJA,1432,CF4216,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
VERDE CROMO,1414,071D12,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
MENTA ,1427,3E8863,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
MARFIL,1420,CAB587,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
CELESTE,1425,5195A0,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
ARRECIFE ,1436,146374,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
MELOCOTÓN,1477,CD9A71,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
BEIGE,1440,C3AC8C,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
TEJA,1439,983625,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
AMARILLO SUAVE,1441,E5D393,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
TURQUESA,1418,1E8175,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
FUCSIA,1422,CC3546,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
CHOCOLATE,1476,4C3134,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
VERDE CÉSPED,1428,16612B,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
BLANCO HUESO,1442,D0C8B2,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
CIELO,1438,7492B8,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
ROJO ÓXIDO,1430,540B0B,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
ROSADO,1421,C5696B,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
BLANCO,1400,FFFFFF,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
NEGRO,1402,000000,,DOMESTIC-GLOSS,DOMESTIC-GLOSS,14,PALETA,,,,,,,,,,,,,
AQUAL,4216,94C2C5,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
MARFIL,4212,D3D2BE,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
MANDARINA,4229,C7914B,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
VERDE JARDÍN,4230,4D9645,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
AZUL CELESTE,4228,72A3C2,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
LILAS,4227,D6A2B7,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
BLANCO HUESO,4211,D7CBB3,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
MENTA,4217,A1C3B6,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
MELÓN,4220,CAA86B,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
CELESTE,4219,A7B3B3,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
ROSADO,4225,BB997E,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
BLANCO,4210,000000,,ROYAL,ROYAL,42,PALETA,,,,,,,,,,,,,
KNOCKOUT RED,261A,9C2F38,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
SENATE BLUE,5223D,475677,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
GRAYCLOTH,4211P,AFAFAD,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
AMARILLO AZTECA,4328,D2AB1F,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
ROJO LADRILLO,4338,54211A,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
AZUL HORIZONTE,4367,333D53,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
FLORENCE BLUE,1183D,00739f,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
BLANCO HUESO,4322,D1C08E,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
PURITAN BLACK,4213D,2B3239,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
BORDEAU BROW,154A,492D36,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
STAIRSTEP,4054T,AA8D62,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
CORAL BRUST,127,D07C8E,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
AMARILLO TOSTADO,4358,AA8338,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
VERDE CAZADOR,4348,1A433F,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
TEJA,4334,D0583D,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
FULL WINE,192A,49283F,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
BLANCO ANTIGUO,4321,C3C2B2,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
PIEL DE DURAZNO,4359,C77363,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
PUEBLO BLUE,3163D,106375,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
KORALLE,7093D,F35B4D,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
YOUNG YELLOW,279,FBE883,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
COLLEEN GREEN,23A,63963c,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
ACACIA AIRE,118,E4B6A7,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
ALPINE PINK,7143D,E84A6D,,DOMESTIC-WALL,DOMESTIC-WALL,43,PALETA,,,,,,,,,,,,,
